date,m2,cpi,ppi,margin_debit,sp500
2000-01-31,4666.1,169.3,128.3,260409.0,1394.4599609375
2000-02-29,4678.7,170.0,129.8,284206.0,1366.4200439453125
2000-03-31,4709.1,171.0,130.8,299933.0,1498.5799560546875
2000-04-30,4766.4,170.9,130.7,268716.0,1452.4300537109375
2000-05-31,4757.5,171.2,131.6,256862.0,1420.5999755859375
2000-06-30,4775.8,172.2,133.8,264471.0,1454.5999755859375
2000-07-31,4793.4,172.7,133.7,263729.0,1430.8299560546875
2000-08-31,4820.4,172.7,132.9,265166.0,1517.6800537109375
2000-09-30,4855.9,173.6,134.7,270208.0,1436.510009765625
2000-10-31,4871.4,173.9,135.4,250965.0,1429.4000244140625
2000-11-30,4882.6,174.2,135.0,237913.0,1314.949951171875
2000-12-31,4927.3,174.6,136.2,210385.0,1320.280029296875
2001-01-31,4976.8,175.6,140.0,208687.0,1366.010009765625
2001-02-28,5014.9,176.0,137.4,198887.0,1239.93994140625
2001-03-31,5072.2,176.1,135.9,174797.0,1160.3299560546875
2001-04-30,5137.9,176.4,136.4,176096.0,1249.4599609375
2001-05-31,5139.1,177.3,136.8,183041.0,1255.8199462890625
2001-06-30,5182.3,177.7,135.5,179585.0,1224.3800048828125
2001-07-31,5212.0,177.4,133.4,173680.0,1211.22998046875
2001-08-31,5244.4,177.4,133.4,169316.0,1133.5799560546875
2001-09-30,5355.9,178.1,133.3,157931.0,1040.93994140625
2001-10-31,5344.0,177.6,130.3,152367.0,1059.780029296875
2001-11-30,5387.5,177.5,129.8,159440.0,1139.449951171875
2001-12-31,5440.1,177.4,128.1,160473.0,1148.0799560546875
2002-01-31,5459.6,177.7,128.5,160906.0,1130.199951171875
2002-02-28,5488.4,178.0,128.4,154931.0,1106.72998046875
2002-03-31,5499.8,178.5,129.8,160089.0,1147.3900146484375
2002-04-30,5501.3,179.3,130.8,159072.0,1076.9200439453125
2002-05-31,5530.1,179.5,130.8,157802.0,1067.1400146484375
2002-06-30,5555.3,179.6,130.9,153972.0,989.8200073242188
2002-07-31,5597.6,180.0,131.2,143905.0,911.6199951171875
2002-08-31,5638.5,180.5,131.5,139146.0,916.0700073242188
2002-09-30,5662.9,180.8,132.3,136107.0,815.280029296875
2002-10-31,5707.3,181.2,133.2,138647.0,885.760009765625
2002-11-30,5758.0,181.5,133.1,139472.0,936.3099975585938
2002-12-31,5779.0,181.8,132.9,139451.0,879.8200073242188
2003-01-31,5811.1,182.6,135.3,141391.0,855.7000122070312
2003-02-28,5846.8,183.6,137.6,140516.0,841.1500244140625
2003-03-31,5866.3,183.9,141.2,144267.0,848.1799926757812
2003-04-30,5904.9,183.2,136.8,143237.0,916.9199829101562
2003-05-31,5967.0,182.9,136.7,153725.0,963.5900268554688
2003-06-30,6003.9,183.1,138.0,168281.0,974.5
2003-07-31,6050.4,183.7,137.7,174427.0,990.3099975585938
2003-08-31,6107.0,184.5,138.0,167200.0,1008.010009765625
2003-09-30,6080.0,185.1,138.5,171194.0,995.969970703125
2003-10-31,6070.2,184.9,139.3,175428.0,1050.7099609375
2003-11-30,6075.5,185.0,138.9,182587.0,1058.199951171875
2003-12-31,6073.5,185.5,139.5,181459.0,1111.9200439453125
2004-01-31,6081.3,186.3,141.4,189429.0,1131.1300048828125
2004-02-29,6120.7,186.7,142.1,190448.0,1144.93994140625
2004-03-31,6156.3,187.1,143.1,191451.0,1126.2099609375
2004-04-30,6198.5,187.4,144.8,198778.0,1107.300048828125
2004-05-31,6277.2,188.2,146.8,193843.0,1120.6800537109375
2004-06-30,6279.3,188.9,147.2,193993.0,1140.8399658203125
2004-07-31,6292.3,189.1,147.4,187844.0,1101.719970703125
2004-08-31,6317.7,189.2,148.0,187828.0,1104.239990234375
2004-09-30,6352.3,189.8,147.7,193668.0,1114.5799560546875
2004-10-31,6379.9,190.8,150.0,197999.0,1130.199951171875
2004-11-30,6406.3,191.7,151.4,211012.0,1173.8199462890625
2004-12-31,6424.3,191.7,150.2,217573.0,1211.9200439453125
2005-01-31,6429.9,191.6,150.9,220122.0,1181.27001953125
2005-02-28,6437.7,192.4,151.6,223155.0,1203.5999755859375
2005-03-31,6446.6,193.1,153.7,226876.0,1180.5899658203125
2005-04-30,6461.4,193.7,155.0,217447.0,1156.8499755859375
2005-05-31,6480.6,193.6,154.3,219404.0,1191.5
2005-06-30,6513.2,193.7,154.3,224153.0,1191.3299560546875
2005-07-31,6545.1,194.9,156.3,233585.0,1234.1800537109375
2005-08-31,6576.7,196.1,157.6,231400.0,1220.3299560546875
2005-09-30,6610.2,198.8,162.2,244669.0,1228.81005859375
2005-10-31,6644.0,199.1,166.2,239868.0,1207.010009765625
2005-11-30,6660.6,198.1,163.7,242904.0,1249.47998046875
2005-12-31,6687.4,198.1,163.0,244098.0,1248.2900390625
2006-01-31,6728.4,199.3,164.3,255795.0,1280.0799560546875
2006-02-28,6753.1,199.4,161.8,249609.0,1280.6600341796875
2006-03-31,6766.9,199.7,162.2,259370.0,1294.8699951171875
2006-04-30,6806.3,200.7,164.3,265164.0,1310.6099853515625
2006-05-31,6815.7,201.3,165.8,255608.0,1270.0899658203125
2006-06-30,6854.0,201.8,166.1,251495.0,1270.199951171875
2006-07-31,6896.1,202.9,166.8,256016.0,1276.6600341796875
2006-08-31,6926.4,203.8,167.9,249368.0,1303.8199462890625
2006-09-30,6952.8,202.8,165.4,261769.0,1335.8499755859375
2006-10-31,7002.1,201.9,162.2,267710.0,1377.93994140625
2006-11-30,7037.3,202.0,164.6,294899.0,1400.6300048828125
2006-12-31,7079.3,203.1,165.6,303288.0,1418.300048828125
2007-01-31,7115.6,203.437,164.0,311506.0,1438.239990234375
2007-02-28,7131.9,204.226,166.8,321171.0,1406.8199462890625
2007-03-31,7164.7,205.288,169.3,317737.0,1420.8599853515625
2007-04-30,7239.9,205.904,171.4,342084.0,1482.3699951171875
2007-05-31,7257.1,206.755,173.3,382312.0,1530.6199951171875
2007-06-30,7290.6,207.234,173.8,408444.0,1503.3499755859375
2007-07-31,7321.8,207.603,175.1,416403.0,1455.27001953125
2007-08-31,7397.0,207.667,172.4,362475.0,1473.989990234375
2007-09-30,7413.8,208.547,173.5,359104.0,1526.75
2007-10-31,7429.0,209.19,174.7,376979.0,1549.3800048828125
2007-11-30,7454.0,210.834,179.0,379593.0,1481.1400146484375
2007-12-31,7482.7,211.445,178.6,355292.0,1468.3599853515625
2008-01-31,7513.6,212.174,181.0,365592.0,1378.550048828125
2008-02-29,7600.3,212.687,182.7,377088.0,1330.6300048828125
2008-03-31,7664.9,213.448,187.9,349419.0,1322.699951171875
2008-04-30,7711.4,213.942,190.9,332303.0,1385.5899658203125
2008-05-31,7728.3,215.208,196.6,341610.0,1400.3800048828125
2008-06-30,7747.3,217.463,200.5,346892.0,1280.0
2008-07-31,7794.9,219.016,205.5,343297.0,1267.3800048828125
2008-08-31,7808.8,218.69,199.0,324814.0,1282.8299560546875
2008-09-30,7873.6,218.877,196.9,345745.0,1166.3599853515625
2008-10-31,7976.3,216.995,186.4,277568.0,968.75
2008-11-30,8027.8,213.153,176.8,227334.0,896.239990234375
2008-12-31,8203.0,211.398,170.9,210185.0,903.25
2009-01-31,8284.2,211.933,171.2,205007.0,825.8800048828125
2009-02-28,8314.7,212.705,169.3,199655.0,735.0900268554688
2009-03-31,8380.5,212.495,168.1,203967.0,797.8699951171875
2009-04-30,8390.2,212.709,169.1,208010.0,872.8099975585938
2009-05-31,8452.9,213.022,170.8,214401.0,919.1400146484375
2009-06-30,8462.9,214.79,174.1,217140.0,919.3200073242188
2009-07-31,8467.3,214.726,172.5,228734.0,987.47998046875
2009-08-31,8466.2,215.445,175.0,236251.0,1020.6199951171875
2009-09-30,8462.7,215.861,174.1,254107.0,1057.0799560546875
2009-10-31,8489.2,216.509,175.2,265404.0,1036.18994140625
2009-11-30,8517.9,217.234,177.4,250988.0,1095.6300048828125
2009-12-31,8510.6,217.347,178.1,262399.0,1115.0999755859375
2010-01-31,8473.1,217.488,181.9,266455.0,1073.8699951171875
